date,total_trades,buy_trades,sell_trades,total_volume_usd,avg_execution_price,daily_pnl,total_fees,net_buy_pressure,value,classification
2023-03-28,3,3,0,477.0,1898.1333333333332,0.0,0.0,3,59.0,Greed
2023-11-14,1045,491,554,11555429.76,10454.871036222965,155.50335699999994,2794.570654,-63,69.0,Greed
2024-03-09,6962,3371,3591,39406770.25,9771.897315360242,176965.491774,6812.781233,-220,84.0,Extreme Greed
2024-07-03,7141,3505,3636,21843234.35,2663.1323376477903,158742.378078,8743.87748638,-131,50.0,Neutral
2024-10-27,35241,14927,20314,103947765.09,5367.5032773242565,3189461.032019,21539.46273461,-5387,74.0,Greed
2025-02-19,133871,66081,67790,704158492.98,11102.057977906632,6699925.190574,145018.0436178108,-1709,44.0,Fear
2025-06-15,26961,14318,12643,310275273.03,23652.065077594485,71709.347634,60948.98483993,1675,,
